"vol","price","side","date time"
100,18.9,buy,2024-11-15 09:29:06
100,18.9,buy,2024-11-15 09:29:18
100,18.9,buy,2024-11-15 09:29:35
100,18.85,sell,2024-11-15 09:29:43
100,18.85,sell,2024-11-15 09:29:43
500,18.85,sell,2024-11-15 09:29:43
"2,000",18.85,sell,2024-11-15 09:29:43
300,18.85,sell,2024-11-15 09:29:43
200,18.85,sell,2024-11-15 09:30:42
200,18.85,sell,2024-11-15 09:30:42
"3,000",18.85,sell,2024-11-15 09:30:54
"10,000",18.85,sell,2024-11-15 09:31:13
300,18.85,sell,2024-11-15 09:31:17
"1,000",18.85,sell,2024-11-15 09:31:36
"2,000",18.85,sell,2024-11-15 09:31:42
"1,000",18.85,sell,2024-11-15 09:31:43
"1,100",18.85,sell,2024-11-15 09:31:50
200,18.9,buy,2024-11-15 09:31:53
"1,400",18.85,sell,2024-11-15 09:31:54
900,18.85,sell,2024-11-15 09:31:54
"2,000",18.85,sell,2024-11-15 09:31:58
"2,900",18.85,sell,2024-11-15 09:31:59
900,18.9,buy,2024-11-15 09:32:08
200,18.9,buy,2024-11-15 09:32:08
200,18.9,buy,2024-11-15 09:32:08
700,18.9,buy,2024-11-15 09:32:08
100,18.9,buy,2024-11-15 09:32:09
"3,000",18.85,sell,2024-11-15 09:32:17
300,18.9,buy,2024-11-15 09:32:17
300,18.9,buy,2024-11-15 09:32:17
400,18.9,buy,2024-11-15 09:32:17
100,18.9,buy,2024-11-15 09:32:44
500,18.9,buy,2024-11-15 09:33:36
200,18.85,sell,2024-11-15 09:34:20
"2,000",18.9,buy,2024-11-15 09:34:22
300,18.85,sell,2024-11-15 09:34:37
700,18.9,buy,2024-11-15 09:34:42
900,18.9,buy,2024-11-15 09:34:42
200,18.9,buy,2024-11-15 09:34:52
900,18.9,buy,2024-11-15 09:34:55
100,18.9,buy,2024-11-15 09:34:55
400,18.9,buy,2024-11-15 09:35:02
100,18.9,buy,2024-11-15 09:35:02
100,18.85,sell,2024-11-15 09:35:11
"3,000",18.85,sell,2024-11-15 09:35:13
200,18.85,sell,2024-11-15 09:35:26
500,18.85,sell,2024-11-15 09:35:35
"4,500",18.85,sell,2024-11-15 09:35:36
300,18.85,sell,2024-11-15 09:35:41
"2,100",18.85,sell,2024-11-15 09:35:46
500,18.85,sell,2024-11-15 09:35:46
500,18.85,sell,2024-11-15 09:35:46
100,18.85,sell,2024-11-15 09:35:46
"1,000",18.85,sell,2024-11-15 09:35:46
"7,200",18.85,sell,2024-11-15 09:35:46
200,18.85,sell,2024-11-15 09:35:46
100,18.85,sell,2024-11-15 09:35:46
100,18.85,sell,2024-11-15 09:35:46
300,18.85,sell,2024-11-15 09:35:46
100,18.85,sell,2024-11-15 09:35:46
"1,000",18.85,sell,2024-11-15 09:35:46
300,18.85,sell,2024-11-15 09:35:46
300,18.85,sell,2024-11-15 09:35:46
"4,900",18.85,sell,2024-11-15 09:35:50
200,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
"15,000",18.85,sell,2024-11-15 09:35:50
"1,000",18.85,sell,2024-11-15 09:35:50
500,18.85,sell,2024-11-15 09:35:50
500,18.85,sell,2024-11-15 09:35:50
200,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
"1,000",18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
"20,000",18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
"2,000",18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
"2,300",18.85,sell,2024-11-15 09:35:50
"10,000",18.85,sell,2024-11-15 09:35:50
"1,000",18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
200,18.85,sell,2024-11-15 09:35:50
100,18.85,sell,2024-11-15 09:35:50
200,18.9,buy,2024-11-15 09:35:51
200,18.9,buy,2024-11-15 09:36:01
"2,700",18.85,sell,2024-11-15 09:36:08
"2,300",18.85,sell,2024-11-15 09:36:08
"1,000",18.85,sell,2024-11-15 09:36:13
"6,700",18.85,sell,2024-11-15 09:36:18
200,18.85,sell,2024-11-15 09:36:18
100,18.85,sell,2024-11-15 09:36:18
"1,000",18.85,sell,2024-11-15 09:36:18
"1,600",18.85,sell,2024-11-15 09:36:18
100,18.85,sell,2024-11-15 09:36:18
500,18.85,sell,2024-11-15 09:36:18
"1,000",18.85,sell,2024-11-15 09:36:18
200,18.85,sell,2024-11-15 09:36:18
500,18.85,sell,2024-11-15 09:36:18
500,18.85,sell,2024-11-15 09:36:18
"15,200",18.85,sell,2024-11-15 09:36:18
300,18.85,sell,2024-11-15 09:36:18
100,18.85,sell,2024-11-15 09:36:18
200,18.85,sell,2024-11-15 09:36:18
100,18.85,sell,2024-11-15 09:36:18
"1,000",18.85,sell,2024-11-15 09:36:18
100,18.85,sell,2024-11-15 09:36:18
300,18.85,sell,2024-11-15 09:36:18
300,18.85,sell,2024-11-15 09:36:18
100,18.85,sell,2024-11-15 09:36:19
"1,000",18.85,sell,2024-11-15 09:36:23
"11,000",18.85,sell,2024-11-15 09:36:24
"2,700",18.85,sell,2024-11-15 09:36:30
100,18.85,sell,2024-11-15 09:36:30
400,18.8,sell,2024-11-15 09:36:30
